Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
12:22:09:02.513,61,0.0000000000,0.0000000000,0.0000000000,0.3541540205,0.4350694120,0.2246269137,0.4554411173,0.0000000000,0.0000000000,0.4539377987,0.0000000000,0.4282845557,0.2246203125,0.4591531157,0.0704287216,0.0013579576,0.0000000000,0.0351112261,0.0428926833,0.0857015178,0.0293810014,0.0000000000,0.0034275339,0.0000000000,0.0000000000,0.1903034151,0.2321491987,0.0714856535,0.0779801458,0.2031764090,0.2273703665,0.0866120234,0.1028325334,0.0444343239,0.0519945621,0.0243147518,0.0167858638,0.0530049801,0.0511575826,0.0164014585,0.0140052419,0.0000000000,0.0000000000,0.1268831640,0.0004735794,0.0013559125,0.0420817062,0.0159644224,0.0162513163,0.0435341150,0.0365710706,0.0000057529,0.0000000000,0.0000000000,0.0000000000,-0.2723428905,-0.1941149831,0.0528313965,-0.2123938352,-0.1942537129,0.0414479934
12:22:09:04.513,61,0.0000000000,0.0000000000,0.0000000000,0.3494223058,0.4342800975,0.2242314219,0.4556578398,0.0000000000,0.0000000000,0.4492310286,0.0000000000,0.4275829792,0.2242249995,0.4593559504,0.0698802024,0.0011952607,0.0000000000,0.0349430330,0.0427059755,0.0855297893,0.0293597169,0.0000000000,0.0036877685,0.0000000000,0.0000000000,0.1904237270,0.2323001325,0.0710562468,0.0774161369,0.2030583173,0.2272333354,0.0862046704,0.1017232239,0.0447381437,0.0520605184,0.0244776048,0.0169701390,0.0528279245,0.0509874970,0.0164097752,0.0140119772,0.0000000000,0.0000000000,0.1268799752,0.0012410525,0.0021203384,0.0421683788,0.0159148388,0.0162188001,0.0434244871,0.0364691205,0.0000054296,0.0000000000,0.0000000000,0.0000000000,-0.2695376277,-0.1936437935,0.0521715358,-0.2095717937,-0.1937824637,0.0408043750
12:22:09:06.512,61,0.0000000000,0.0000000000,0.0000000000,0.3503322303,0.4369395077,0.2242133617,0.4558836818,0.0000000000,0.0000000000,0.4501892030,0.0000000000,0.4301866293,0.2242072672,0.4595783949,0.0693229735,0.0009956448,0.0000000000,0.0347113423,0.0424987227,0.0853636712,0.0293276664,0.0000000000,0.0038246491,0.0000000000,0.0000000000,0.1906589866,0.2325540334,0.0707303882,0.0769790709,0.2029533386,0.2271014601,0.0858855322,0.1008389667,0.0451165400,0.0521262288,0.0246698018,0.0171654858,0.0525737032,0.0507356264,0.0164231453,0.0140200909,0.0000000000,0.0000000000,0.1267687380,0.0018261597,0.0027009919,0.0423217304,0.0158898532,0.0162097327,0.0433457047,0.0363847874,0.0000054857,0.0000000000,0.0000000000,0.0000000000,-0.2700524330,-0.1948521435,0.0526024960,-0.2100696117,-0.1949907243,0.0411610529
12:22:09:08.512,61,0.0000000000,0.0000000000,0.0000000000,0.3495512605,0.4384148419,0.2240566760,0.4560826421,0.0000000000,0.0000000000,0.4493990541,0.0000000000,0.4316551387,0.2240508646,0.4597913623,0.0687567890,0.0007674302,0.0000000000,0.0344063900,0.0421949774,0.0852172673,0.0293315090,0.0000000000,0.0039813234,0.0000000000,0.0000000000,0.1919421554,0.2345621735,0.0702871308,0.0764164180,0.2026694715,0.2267995328,0.0855041072,0.0983892977,0.0455670469,0.0522900559,0.0248598233,0.0173536632,0.0522150695,0.0503862798,0.0164707098,0.0140559739,0.0000000000,0.0000000000,0.1267363131,0.0025687963,0.0034465194,0.0425371267,0.0158485100,0.0161844566,0.0432530195,0.0362876952,0.0000062669,0.0000000000,0.0000000000,0.0000000000,-0.2695451379,-0.1954901218,0.0526823103,-0.2095751166,-0.1956286430,0.0412033647
12:22:09:10.512,61,0.0000000000,0.0000000000,0.0000000000,0.3431282938,0.4381670356,0.2239035964,0.4561393261,0.0000000000,0.0000000000,0.4431708455,0.0000000000,0.4315035045,0.2238980532,0.4598466754,0.0683108196,0.0005697887,0.0000000000,0.0341576003,0.0420113839,0.0851343945,0.0293818507,0.0000000000,0.0040061511,0.0000000000,0.0000000000,0.1928448826,0.2363269925,0.0699542835,0.0759188458,0.2024523765,0.2264918983,0.0853410959,0.0972507596,0.0460786559,0.0524126552,0.0250592437,0.0175530147,0.0518805273,0.0500659607,0.0165145937,0.0140879536,0.0000000000,0.0000000000,0.1265109032,0.0028520711,0.0037295027,0.0427816361,0.0158261880,0.0161661562,0.0431960262,0.0362343788,0.0000065770,0.0000000000,0.0000000000,0.0000000000,-0.2658164203,-0.1952190995,0.0518984050,-0.2057306916,-0.1953576207,0.0404017121
12:22:09:12.511,61,0.0000000000,0.0000000000,0.0000000000,0.3369290233,0.4361493886,0.2237366438,0.4550918639,0.0000000000,0.0000000000,0.4370812774,0.0000000000,0.4296087921,0.2237311304,0.4587270617,0.0677744523,0.0003523048,0.0000000000,0.0338565260,0.0417787954,0.0850509331,0.0294862892,0.0000000000,0.0041880338,0.0000000000,0.0000000000,0.1933381557,0.2370803356,0.0695169717,0.0753291845,0.2022054791,0.2261775732,0.0850728601,0.0957748890,0.0465806276,0.0525442660,0.0252498053,0.0177493691,0.0515093356,0.0497123413,0.0165439826,0.0141139980,0.0000000000,0.0000000000,0.1263857633,0.0030212104,0.0038933503,0.0430745631,0.0158029217,0.0161516443,0.0431454256,0.0362029672,0.0000065734,0.0000000000,0.0000000000,0.0000000000,-0.2622092366,-0.1941692382,0.0509297103,-0.2020505965,-0.1943078041,0.0394711755
12:22:09:14.511,61,0.0000000000,0.0000000000,0.0000000000,0.3401134312,0.4351062775,0.2234287113,0.4521472156,0.0000000000,0.0000000000,0.4402155578,0.0000000000,0.4285304546,0.2234234214,0.4559354186,0.0673942864,0.0002051786,0.0000000000,0.0336439908,0.0415929407,0.0849988610,0.0295498613,0.0000000000,0.0042827600,0.0000000000,0.0000000000,0.1936038435,0.2375749201,0.0691766888,0.0748675242,0.2019432932,0.2258904725,0.0848596543,0.0949450955,0.0470288619,0.0527100526,0.0254061744,0.0179077107,0.0512401424,0.0494619422,0.0165866651,0.0141463280,0.0000000000,0.0000000000,0.1262098849,0.0029281639,0.0037984829,0.0432568304,0.0157845970,0.0161427408,0.0431076102,0.0361660384,0.0000065884,0.0000000000,0.0000000000,0.0000000000,-0.2641120255,-0.1937820315,0.0511853397,-0.2039773017,-0.1939207315,0.0397606567
12:22:09:16.511,61,0.0000000000,0.0000000000,0.0000000000,0.3401232958,0.4367133081,0.2234525681,0.4511910379,0.0000000000,0.0000000000,0.4402441978,0.0000000000,0.4301142395,0.2234475464,0.4550185204,0.0671038181,0.0000605484,0.0000000000,0.0334635340,0.0414310992,0.0849114880,0.0295389686,0.0000000000,0.0043103397,0.0000000000,0.0000000000,0.1939748377,0.2380189598,0.0689767897,0.0745782182,0.2017817050,0.2257083505,0.0847910866,0.0943963900,0.0474180207,0.0528302267,0.0255790800,0.0180703532,0.0510061085,0.0492413677,0.0166254416,0.0141753657,0.0000000000,0.0000000000,0.1260879040,0.0030034827,0.0038720695,0.0434116982,0.0157744233,0.0161419101,0.0430808924,0.0361336544,0.0000063855,0.0000000000,0.0000000000,0.0000000000,-0.2640937567,-0.1944978386,0.0513754599,-0.2039553076,-0.1946364045,0.0399067663
12:22:09:18.511,61,0.0000000000,0.0000000000,0.0000000000,0.3424956501,0.4390033185,0.2234689593,0.4502286613,0.0000000000,0.0000000000,0.4425513744,0.0000000000,0.4323381484,0.2234640419,0.4540250003,0.0667710975,0.0000000000,0.0001248348,0.0332460217,0.0412407294,0.0847905576,0.0295473933,0.0000000000,0.0044449056,0.0000000000,0.0000000000,0.1946885288,0.2385986298,0.0686709881,0.0742219910,0.2015431374,0.2254916131,0.0847521648,0.0938558578,0.0477908775,0.0529715680,0.0257575139,0.0182335563,0.0507038794,0.0489467010,0.0166535024,0.0142004676,0.0000000000,0.0000000000,0.1260523349,0.0030614333,0.0039212257,0.0436251126,0.0157528594,0.0161367077,0.0430328362,0.0360898823,0.0000054300,0.0000000000,0.0000000000,0.0000000000,-0.2654263079,-0.1955759823,0.0519212075,-0.2053368539,-0.1957144439,0.0404010303
12:22:09:20.510,61,0.0000000000,0.0000000000,0.0000000000,0.3430750668,0.4402379394,0.2233416736,0.4500720501,0.0000000000,0.0000000000,0.4431472123,0.0000000000,0.4335446358,0.2233369350,0.4538547695,0.0664867163,0.0000000000,0.0002427452,0.0330446549,0.0410931222,0.0846636593,0.0295192767,0.0000000000,0.0043590646,0.0000000000,0.0000000000,0.1953023672,0.2391885668,0.0684937537,0.0739869624,0.2014039606,0.2253082246,0.0847214758,0.0934653208,0.0481405891,0.0530580841,0.0258895494,0.0183603484,0.0504499711,0.0486995615,0.0166687742,0.0142102912,0.0000000000,0.0000000000,0.1259748787,0.0031472379,0.0040023057,0.0437396131,0.0157253593,0.0161158368,0.0429681689,0.0360253006,0.0000052495,0.0000000000,0.0000000000,0.0000000000,-0.2657559514,-0.1961400956,0.0521376245,-0.2056622356,-0.1962786317,0.0405836403
