Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
16:49:25:36.847,61,0.0000094416,0.0488793664,0.1080940664,0.0000000000,0.0000000000,0.1566832364,0.1923008263,0.0000228334,0.0491076894,0.0000000000,0.0014750783,0.0000000000,0.1574426144,0.1936522871,0.0746338814,0.0946762636,0.0000000000,0.3204481006,0.1251026392,0.1718712002,0.0787312984,0.0200350508,0.0000000000,0.2080394179,0.1318310201,0.0000000000,0.0000000000,0.0360900909,0.0308865067,0.2392054349,0.2142339647,0.0332518145,0.1045041904,0.0247438643,0.1692719460,0.0069752769,0.0082655847,0.4609993100,0.4719319344,0.0326854065,0.0291347746,0.0000000000,0.0000000000,0.1514393836,0.1111100912,0.1057634950,0.0189663582,0.0264462959,0.0230599660,0.0616689660,0.0654074848,0.0000048165,0.0000000000,0.0000000000,0.0000000000,0.0009006687,0.0299981982,0.0000270265,0.0660014376,0.0299238823,0.0019741722
16:49:25:38.847,61,0.0000086892,0.0502145700,0.0991159230,0.0000000000,0.0000000000,0.1589504629,0.1893507391,0.0000210138,0.0504274778,0.0072833588,0.0000000000,0.0000000000,0.1599126458,0.1907592714,0.0828360543,0.0959940553,0.0000000000,0.3337032199,0.1238044724,0.1627115011,0.0670716316,0.0375364125,0.0000000000,0.2822870314,0.1881074160,0.0000000000,0.0000000000,0.0361495093,0.0311025046,0.2398059368,0.2141050845,0.0321031027,0.1051747650,0.0224326905,0.1710492373,0.0069763009,0.0082670217,0.4942219257,0.4961704612,0.0341079272,0.0305639263,0.0000000000,0.0000000000,0.1507481784,0.1014872044,0.0978282616,0.0181093682,0.0263924208,0.0229433272,0.0620345064,0.0656783506,0.0000218963,0.0000000000,0.0000000000,0.0000000000,-0.0044470397,0.0308046974,-0.0001370326,0.0605179593,0.0307306163,0.0018592022
16:49:25:40.846,61,0.0000079967,0.0430846363,0.0941517204,0.0000000000,0.0000000000,0.1739283800,0.1964848340,0.0000193392,0.0432764664,0.0124372747,0.0000000000,0.0000000000,0.1757180989,0.1979534030,0.0948216692,0.0975283757,0.0000000000,0.3543575108,0.1218610555,0.1519896984,0.0596972033,0.0577114187,0.0000000000,0.3735419810,0.2745630443,0.0000000000,0.0000000000,0.0372335128,0.0318174921,0.2480771244,0.2146107256,0.0313045681,0.1082596779,0.0206575580,0.1711068749,0.0069500147,0.0082478905,0.5563159585,0.5535771251,0.0360772982,0.0319623165,0.0000000000,0.0000000000,0.1505507082,0.0962049738,0.0934456661,0.0172459502,0.0267687701,0.0231217798,0.0646149814,0.0673053116,0.0000678372,0.0000000000,0.0000000000,0.0000000000,-0.0075948443,0.0264368523,-0.0002008286,0.0574940741,0.0263624769,0.0015152012
16:49:25:42.846,61,0.0000073595,0.0364540815,0.1002480164,0.0000000000,0.0000000000,0.2045112401,0.2065652311,0.0000177980,0.0366437659,0.0060157655,0.0000000000,0.0000000000,0.2069939077,0.2093106061,0.1051282734,0.0985097960,0.0000000000,0.3702088594,0.1146379486,0.1422278285,0.0517327227,0.0679472685,0.0000000000,0.4577512443,0.3647530079,0.0000000000,0.0000000000,0.0408049896,0.0349375196,0.2505333126,0.2147181183,0.0306347944,0.1103036925,0.0191789288,0.1702840477,0.0068918774,0.0082024159,0.5899964571,0.5832174420,0.0388285741,0.0338895507,0.0000000000,0.0000000000,0.1497234255,0.0799681097,0.0785791054,0.0161898695,0.0308034811,0.0244388971,0.0701141581,0.0713855326,0.0001461001,0.0000000000,0.0000000000,0.0000000000,-0.0036739015,0.0223845541,-0.0000822522,0.0612228326,0.0223103389,0.0013652747
16:49:25:44.846,61,0.0000067730,0.0260817576,0.1001295075,0.0000000000,0.0000000000,0.2387671918,0.2237122357,0.0000163796,0.0262499768,0.0058867820,0.0000000000,0.0000000000,0.2421143949,0.2272994816,0.1124206409,0.0993070155,0.0000000000,0.4119355083,0.1100523025,0.1350339651,0.0469352715,0.0797407404,0.0000000000,0.4937329590,0.3999711871,0.0000000000,0.0000000000,0.0438797697,0.0377782248,0.2520755529,0.2148531079,0.0300833676,0.1110884547,0.0181259923,0.1700301915,0.0068332772,0.0081601487,0.6079661846,0.5982034802,0.0438940674,0.0373659432,0.0000000000,0.0000000000,0.1484141350,0.0525239594,0.0516481213,0.0153486710,0.0380441472,0.0279551893,0.0775678605,0.0776108801,0.0001896814,0.0000000000,0.0000000000,0.0000000000,-0.0035955685,0.0160353035,-0.0000576608,0.0611578710,0.0159622878,0.0009756938
16:49:25:46.845,61,0.0000062332,0.0068836594,0.1078224778,0.0000000000,0.0000000000,0.2759917080,0.2306360900,0.0000150743,0.0070181163,0.0000000000,0.0019043868,0.0000000000,0.2800983787,0.2346978039,0.1192854345,0.1000844240,0.0000000000,0.4246390164,0.1078458950,0.1312139034,0.0443447307,0.0870330483,0.0000000000,0.5372893810,0.4386949241,0.0000000000,0.0000000000,0.0463269986,0.0397557355,0.2528119385,0.2147998959,0.0296423398,0.1118098199,0.0172504671,0.1694502085,0.0067704893,0.0081112767,0.6231025457,0.6115387082,0.0464649871,0.0390976146,0.0000000000,0.0000000000,0.1477027833,0.0404944979,0.0399890356,0.0145919146,0.0464202166,0.0335552879,0.0835047364,0.0823091716,0.0001829234,0.0000000000,0.0000000000,0.0000000000,0.0011633130,0.0042871274,0.0000049873,0.0658644140,0.0042141252,0.0002773619
16:49:25:48.845,61,0.0000057365,0.0000000000,0.0998773724,0.0000000000,0.0176590458,0.3032316566,0.2370506078,0.0000138730,0.0000000000,0.0067029670,0.0000000000,0.0175235346,0.3073524535,0.2411672175,0.1249611080,0.1007325426,0.0000000000,0.4309086502,0.1061159223,0.1276676506,0.0424628109,0.0923102573,0.0000000000,0.5706265569,0.4725987911,0.0000000000,0.0000000000,0.0514755920,0.0439340807,0.2529449165,0.2146176249,0.0293848515,0.1125329658,0.0165456291,0.1656991392,0.0067263981,0.0080817183,0.6293361187,0.6169779301,0.0480260290,0.0402580351,0.0000000000,0.0000000000,0.1469724923,0.0345834792,0.0342672393,0.0139197875,0.0558772311,0.0406178981,0.0885354131,0.0862764418,0.0001413086,0.0000000000,0.0000000000,0.0000000000,-0.0040944908,-0.0076461481,0.0000313076,0.0610098056,-0.0077195745,-0.0004706869
16:49:25:50.845,61,0.0000052793,0.0000000000,0.0896468610,0.0000000000,0.0293536950,0.3178362250,0.2491732091,0.0000127674,0.0000000000,0.0175538398,0.0000000000,0.0292266533,0.3221346736,0.2536626458,0.1274418235,0.1012530401,0.0000000000,0.4137853980,0.1031886488,0.1243702620,0.0410583951,0.0952645540,0.0000000000,0.5920187831,0.4955480993,0.0000000000,0.0000000000,0.0588767007,0.0494586155,0.2527171373,0.2142089158,0.0292129163,0.1131055579,0.0159762911,0.1610148102,0.0067017418,0.0080646975,0.6324622035,0.6196096539,0.0492047034,0.0411618836,0.0000000000,0.0000000000,0.1465732902,0.0300697908,0.0298794210,0.0133070452,0.0641740039,0.0469723716,0.0934669897,0.0908552259,0.0000721707,0.0000000000,0.0000000000,0.0000000000,-0.0107221603,-0.0127532668,0.0001367473,0.0547576509,-0.0128271915,-0.0007020743
16:49:25:52.845,61,0.0000048586,0.0000000000,0.0905091390,0.0000000000,0.0283603128,0.3287895620,0.2565335929,0.0000117500,0.0000000000,0.0170650259,0.0000000000,0.0282321777,0.3330182433,0.2611129880,0.1285243928,0.1016960219,0.0000000000,0.3596514761,0.0967740268,0.1212149486,0.0400379486,0.0967466086,0.0000000000,0.6159827113,0.5259051919,0.0000000000,0.0000000000,0.0665989816,0.0562394448,0.2504735589,0.2136446834,0.0290573630,0.1137045473,0.0155211873,0.1487359405,0.0066850241,0.0080437828,0.6332452297,0.6203840971,0.0500052981,0.0418023169,0.0000000000,0.0000000000,0.1465138495,0.0279458165,0.0278157610,0.0127300844,0.0717077106,0.0537104458,0.0975910872,0.0945205390,0.0001144559,0.0000000000,0.0000000000,0.0000000000,-0.0104236398,-0.0123192798,0.0001284159,0.0552846566,-0.0123934560,-0.0006848539
16:49:25:54.844,61,0.0000044714,0.0000000000,0.0851805657,0.0000000000,0.0324253663,0.3351400793,0.2570862770,0.0000108136,0.0000000000,0.0226850361,0.0000000000,0.0322958678,0.3393554091,0.2616765499,0.1285782307,0.1017401963,0.0000000000,0.2999319434,0.0861521363,0.1118895859,0.0381724536,0.0975013524,0.0000000000,0.6258814335,0.5365790725,0.0000000000,0.0000000000,0.0895967931,0.0761102065,0.2476750016,0.2126912922,0.0290515553,0.1138354987,0.0152788879,0.1344820559,0.0067037586,0.0080588032,0.5775927901,0.5619612932,0.0507621169,0.0424385145,0.0000000000,0.0000000000,0.1453258991,0.0213387292,0.0212774631,0.0121934600,0.0771567971,0.0588241555,0.1018329114,0.0986246690,0.0002138163,0.0000000000,0.0000000000,0.0000000000,-0.0138561241,-0.0140930824,0.0001952822,0.0520286337,-0.0141674085,-0.0007368275
16:49:25:56.844,61,0.0000041151,0.0000000000,0.0932724178,0.0000000000,0.0381236598,0.3357158005,0.2547544837,0.0000099518,0.0000000000,0.0147665953,0.0000000000,0.0380132832,0.3395940363,0.2595083117,0.1256041378,0.1017076671,0.0000000000,0.2790800035,0.0782954097,0.1072090641,0.0365137979,0.0941556469,0.0000000000,0.6301738620,0.5414441228,0.0000000000,0.0000000000,0.0961222723,0.0819086134,0.2374538481,0.2090125978,0.0288094450,0.1136437654,0.0150410328,0.1296405941,0.0067165350,0.0080611072,0.5641089082,0.5495932102,0.0513331778,0.0429744720,0.0000000000,0.0000000000,0.1418467909,0.0177077018,0.0176686384,0.0116555477,0.0789838657,0.0607504547,0.1031312570,0.0998493135,0.0002676747,0.0000000000,0.0000000000,0.0000000000,-0.0090191588,-0.0165870972,0.0001496134,0.0569689982,-0.0166616160,-0.0009487696
16:49:25:58.844,61,0.0000037871,0.0000000000,0.1113201082,0.0000000000,0.0322936811,0.3140462041,0.2487559766,0.0000091588,0.0000000000,0.0000000000,0.0037300442,0.0321983323,0.3169296682,0.2528514862,0.1157332510,0.1016054153,0.0000000000,0.2689671516,0.0755176768,0.1118181422,0.0364150368,0.0449890010,0.0000000000,0.4578321874,0.3829897940,0.0000000000,0.0000000000,0.0682912469,0.0718542486,0.2333321869,0.2078219354,0.0285529997,0.1135732755,0.0149491243,0.1465695053,0.0067450339,0.0080722319,0.5367904305,0.5387307405,0.0515098311,0.0433949791,0.0000000000,0.0000000000,0.1363953501,0.0136179980,0.0134377591,0.0112253334,0.0675667226,0.0592282265,0.0990495160,0.0981574208,0.0003064646,0.0000000000,0.0000000000,0.0000000000,0.0022783296,-0.0140492097,-0.0000320108,0.0679948330,-0.0141234146,-0.0009596430
16:49:26:00.843,61,0.0000034853,0.0000000000,0.1325748861,0.0000000000,0.0142570641,0.2753919363,0.2488031983,0.0000084289,0.0000000000,0.0000000000,0.0254881252,0.0141327549,0.2772304714,0.2520262003,0.1059246734,0.1003943533,0.0000000000,0.2778434157,0.0918174535,0.2112849206,0.1278134733,0.0099119656,0.0000000000,0.1891753525,0.1558256298,0.0000000000,0.0000000000,0.0461369455,0.0479833297,0.2313181162,0.2091107666,0.0286991652,0.1136523336,0.0160825569,0.1509912610,0.0068145301,0.0081204707,0.4252575338,0.4393494129,0.0510890484,0.0435293093,0.0000000000,0.0000000000,0.1339269876,0.0063288575,0.0053262506,0.0113472873,0.0520419776,0.0524437241,0.0923125297,0.0959110111,0.0002232610,0.0000000000,0.0000000000,0.0000000000,0.0155695146,-0.0061673252,-0.0000960196,0.0809838325,-0.0062412736,-0.0005048965
16:49:26:02.843,61,0.0000032076,0.0000000000,0.1432345510,0.0000000000,0.0112993186,0.2590579391,0.2482096106,0.0000077572,0.0000000000,0.0000000000,0.0360938422,0.0111703649,0.2601787448,0.2510241568,0.0876904875,0.0852333158,0.0000000000,0.2329493463,0.1033472419,0.2695747912,0.2525519431,0.0000000000,0.0484922715,0.0000000000,0.0000000000,0.0191609599,0.0420819111,0.0338224359,0.0360051319,0.2336358130,0.2313448489,0.0292343572,0.1101458892,0.0281544663,0.1503955126,0.0068434258,0.0081116557,0.2996082306,0.3144680262,0.0452507325,0.0424959585,0.0000000000,0.0000000000,0.1325202286,0.0023692101,0.0002870485,0.0148189263,0.0436009541,0.0471770763,0.0871806666,0.0937287733,0.0001893841,0.0000000000,0.0000000000,0.0000000000,0.0220482163,-0.0048751761,-0.0001074811,0.0874959454,-0.0049491902,-0.0004324853
16:49:26:04.843,61,0.0000029520,0.0000000000,0.1264215410,0.0000000000,0.0305478852,0.2542488277,0.2483925521,0.0000071390,0.0000000000,0.0000000000,0.0189325251,0.0304670166,0.2551210523,0.2509027719,0.0819919407,0.0800887346,0.0000000000,0.2697240114,0.1697745174,0.3047353923,0.3389507830,0.0000000000,0.0663178265,0.0000000000,0.0000000000,0.1388823241,0.1657230258,0.0275266636,0.0296048261,0.2422634363,0.2422822565,0.0383600295,0.1094618887,0.0395909920,0.1477197558,0.0068685235,0.0080870790,0.2588710189,0.2748349309,0.0400701165,0.0396955311,0.0000000000,0.0000000000,0.1318688393,0.0069378726,0.0031414870,0.0249661952,0.0386503637,0.0427019820,0.0843676403,0.0920688882,0.0003713255,0.0000000000,0.0000000000,0.0000000000,0.0115641998,-0.0132946307,-0.0001537474,0.0772196501,-0.0133688711,-0.0010313749
16:49:26:06.843,61,0.0000027167,0.0000000000,0.1073829681,0.0000000000,0.0577670112,0.2588354051,0.2678454518,0.0000065701,0.0000000000,0.0000868641,0.0000000000,0.0577213839,0.2595986426,0.2691572309,0.0790760964,0.0763883516,0.0000000000,0.2828827202,0.1976505518,0.3336894512,0.4186003804,0.0000000000,0.0721138865,0.0000000000,0.0000000000,0.2299235761,0.2621996999,0.0241056476,0.0260056518,0.2547687590,0.2529948950,0.0527727604,0.1134586856,0.0483033657,0.1092024222,0.0068589286,0.0080131516,0.2319659740,0.2436142862,0.0337171666,0.0337955281,0.0000000000,0.0000000000,0.1319977343,0.0307068732,0.0229760502,0.0432532653,0.0351043232,0.0383501649,0.0817760900,0.0892091691,0.0011594235,0.0000000000,0.0000000000,0.0000000000,-0.0000530454,-0.0251857061,0.0000013363,0.0655756742,-0.0252599176,-0.0016555998
