Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
12:27:47:47.169,61,0.0000000000,0.0000000000,0.0000000000,0.1421131641,0.4678646922,0.1981154978,0.4832954109,0.0000000000,0.0000000000,0.2466447949,0.0000000000,0.4644206464,0.1980690509,0.4850215614,0.0456822887,0.0018999915,0.0000000000,0.0257464331,0.0291819777,0.0821808875,0.0383172482,0.0070533231,0.0000000000,0.0000000000,0.0000000000,0.0578462780,0.0968901888,0.0683261901,0.0702772215,0.1886536330,0.2060281336,0.0570275411,0.0596355982,0.0601537116,0.0594661869,0.0270551052,0.0195298940,0.0571795218,0.0555274673,0.0212245770,0.0177215468,0.0000000000,0.0000000000,0.1407587528,0.0268815774,0.0289394166,0.0371787734,0.0171545558,0.0168332774,0.0469164960,0.0389089659,0.0000218536,0.0000000000,0.0000000000,0.0000000000,-0.1475610286,-0.2048996240,0.0305448882,-0.0850049257,-0.2048947811,0.0176418666
12:27:47:49.169,61,0.0000000000,0.0000000000,0.0000000000,0.1143721044,0.4582253993,0.1979118437,0.4809231460,0.0000000000,0.0000000000,0.2193534374,0.0000000000,0.4553184509,0.1978628039,0.4825914800,0.0459499583,0.0019947330,0.0000000000,0.0258375704,0.0292629898,0.0824445486,0.0383755565,0.0072905249,0.0000000000,0.0000000000,0.0000000000,0.0594871417,0.0994167626,0.0684036314,0.0701523796,0.1886220127,0.2058578134,0.0573358499,0.0597829409,0.0603171475,0.0596915036,0.0270784628,0.0195987709,0.0571802221,0.0555956811,0.0212708209,0.0177693646,0.0000000000,0.0000000000,0.1408807188,0.0264646336,0.0285141300,0.0373764262,0.0172021165,0.0168284066,0.0468899831,0.0389290601,0.0000166994,0.0000000000,0.0000000000,0.0000000000,-0.1313442737,-0.2004195899,0.0265992563,-0.0684719384,-0.2004145235,0.0138977384
12:27:47:51.168,61,0.0000000000,0.0000000000,0.0000000000,0.1120552793,0.4563927054,0.1974512488,0.4795885086,0.0000000000,0.0000000000,0.2172895223,0.0000000000,0.4535281360,0.1974004060,0.4812348783,0.0462374687,0.0021543091,0.0000000000,0.0259985235,0.0293908436,0.0827081874,0.0384706706,0.0075495704,0.0000000000,0.0000000000,0.0000000000,0.0609281473,0.1010444015,0.0684769452,0.0699868500,0.1886442006,0.2056567073,0.0576263778,0.0600447245,0.0603593327,0.0598506108,0.0270546209,0.0196421929,0.0572311841,0.0557136461,0.0212955959,0.0177990627,0.0000000000,0.0000000000,0.1410439461,0.0261871666,0.0282354765,0.0375275835,0.0172290914,0.0167965870,0.0467840806,0.0388924703,0.0000138361,0.0000000000,0.0000000000,0.0000000000,-0.1301292926,-0.1995990425,0.0262439363,-0.0670958534,-0.1995940208,0.0135616334
12:27:47:53.168,61,0.0000000000,0.0000000000,0.0000000000,0.0835920945,0.4563268721,0.1971022189,0.4791827500,0.0000000000,0.0000000000,0.1890476197,0.0000000000,0.4539543390,0.1970499456,0.4807973504,0.0465074815,0.0024193826,0.0000000000,0.0261669140,0.0295437258,0.0829424933,0.0385411754,0.0077897562,0.0000000000,0.0000000000,0.0000000000,0.0613233633,0.1014409661,0.0686048418,0.0698090792,0.1888549030,0.2055297643,0.0578217991,0.0602566302,0.0604277030,0.0600160882,0.0270071514,0.0196799245,0.0573968366,0.0559606031,0.0213291422,0.0178435612,0.0000000000,0.0000000000,0.1411706209,0.0262192842,0.0282795094,0.0375681147,0.0172785074,0.0167735238,0.0467341244,0.0389354266,0.0000137003,0.0000000000,0.0000000000,0.0000000000,-0.1132148281,-0.1993683279,0.0228225365,-0.0500537939,-0.1993632019,0.0101086590
12:27:47:55.168,61,0.0000000000,0.0000000000,0.0000000000,0.0828027129,0.4567814767,0.1968567073,0.4783403277,0.0000000000,0.0000000000,0.1881339103,0.0000000000,0.4544242620,0.1968038231,0.4799192250,0.0466595367,0.0027002140,0.0000000000,0.0262395274,0.0296112802,0.0830631331,0.0385646559,0.0080067581,0.0000000000,0.0000000000,0.0000000000,0.0614813864,0.1015422419,0.0686789975,0.0695998073,0.1888756603,0.2052681744,0.0578863584,0.0604006238,0.0604493283,0.0601321533,0.0269693006,0.0197189003,0.0574961938,0.0561467186,0.0213377960,0.0178672653,0.0000000000,0.0000000000,0.1413508058,0.0259869359,0.0280461740,0.0375839882,0.0173237622,0.0167500339,0.0466658324,0.0389612429,0.0000145222,0.0000000000,0.0000000000,0.0000000000,-0.1126630679,-0.1995620430,0.0227344800,-0.0495791547,-0.1995570362,0.0100228861
12:27:47:57.168,61,0.0000000000,0.0000000000,0.0000000000,0.0696198642,0.4638660252,0.1966527551,0.4776252508,0.0000000000,0.0000000000,0.1752059460,0.0000000000,0.4617008567,0.1965992451,0.4791705310,0.0467997156,0.0029566179,0.0000000000,0.0262955707,0.0296590477,0.0831880271,0.0386273377,0.0081898635,0.0000000000,0.0000000000,0.0000000000,0.0612421706,0.1008750498,0.0688121915,0.0694381818,0.1888446808,0.2048902661,0.0579420701,0.0605575219,0.0604771003,0.0601679049,0.0269425903,0.0197769031,0.0575896129,0.0563205183,0.0213448498,0.0178937167,0.0000000000,0.0000000000,0.1415976137,0.0260703787,0.0281409305,0.0376427248,0.0173656810,0.0167236514,0.0466027521,0.0390000865,0.0000146222,0.0000000000,0.0000000000,0.0000000000,-0.1048547179,-0.2025829703,0.0214944612,-0.0416597128,-0.2025779188,0.0085540256
12:27:47:59.167,61,0.0000000000,0.0000000000,0.0000000000,0.0226959307,0.3368034661,0.1776134819,0.4146909416,0.0000000000,0.0000000000,0.1291078776,0.0000000000,0.3358204663,0.1775133014,0.4160473049,0.0470116548,0.0031458531,0.0000000000,0.0264406409,0.0297659840,0.0832366347,0.0386749618,0.0080028977,0.0000000000,0.0000000000,0.0000000000,0.0633539781,0.1041441113,0.0692269430,0.0694790483,0.1883966923,0.2031842917,0.0580185875,0.0609160215,0.0608235262,0.0604780726,0.0269043818,0.0198487472,0.0577532314,0.0566151738,0.0214616731,0.0180185121,0.0000000000,0.0000000000,0.1404774487,0.0254502576,0.0275031161,0.0374477506,0.0174150318,0.0167078450,0.0466180108,0.0391395018,0.0000116924,0.0000000000,0.0000000000,0.0000000000,-0.0780206397,-0.1469796747,0.0115385167,-0.0137147065,-0.1469721645,0.0020302534
12:27:48:01.167,61,0.0044488502,0.0000000000,0.0060616471,0.0000000000,0.0381960571,0.1405866146,0.2448603213,0.0041462635,0.0000000000,0.1016530544,0.0000000000,0.0381542593,0.1405059099,0.2460052967,0.0468695387,0.0034516428,0.0000000000,0.0265991949,0.0297581553,0.0830479637,0.0387235247,0.0073210592,0.0000000000,0.0000000000,0.0000000000,0.0662949905,0.1065286919,0.0704394877,0.0697292164,0.1839096993,0.1951483190,0.0581352338,0.0620221086,0.0613806024,0.0676372945,0.0271241851,0.0201755911,0.0580808111,0.0571343340,0.0217964165,0.0183410738,0.0000000000,0.0000000000,0.1401579827,0.0255217981,0.0275949072,0.0370610356,0.0175522007,0.0167884491,0.0467321426,0.0394275188,0.0000102011,0.0000000000,0.0000000000,0.0000000000,-0.0620877109,-0.0166800767,0.0010350581,0.0037023353,-0.0166662857,-0.0000617097
12:27:48:03.167,61,0.1953573376,0.2062367648,0.0588123165,0.0000000000,0.0000000000,0.1090848520,0.0000000000,0.1945533901,0.2062445730,0.0489476211,0.0000000000,0.0000000000,0.1090259254,0.0000000000,0.0464548804,0.0038280934,0.0000000000,0.0266691335,0.0297563765,0.0830738470,0.0390389562,0.0063078688,0.0000000000,0.0000000000,0.0000000000,0.0795021579,0.1079411730,0.0710634291,0.0698756501,0.1823735684,0.1925052255,0.0585585050,0.0679626092,0.0617800169,0.0744571537,0.0275957845,0.0207530372,0.0584879629,0.0577692278,0.0221713856,0.0187263601,0.0000000000,0.0000000000,0.1714659780,0.0673974752,0.0700150803,0.0367679931,0.0180107411,0.0171840210,0.0474155545,0.0409239121,0.0000130326,0.0000000000,0.0000000000,0.0000000000,-0.0296633430,0.1260434091,-0.0037582258,0.0356415473,0.1260633767,0.0045160605
12:27:48:05.166,61,0.2947430313,0.2478138804,0.0661357492,0.0000000000,0.0000000000,0.0936224386,0.0000000000,0.2897818983,0.2478977889,0.0421241522,0.0000000000,0.0000000000,0.0935666487,0.0000000000,0.0460193977,0.0042311754,0.0000000000,0.0266873892,0.0298102293,0.0834956020,0.0400087833,0.0051677716,0.0000000000,0.0000000000,0.0000000000,0.0825207755,0.1069841310,0.0713573992,0.0698072165,0.1817968190,0.1912782192,0.0591198914,0.0719768330,0.0620150417,0.0774792880,0.0281196479,0.0213657320,0.0588768944,0.0583956987,0.0225442052,0.0190962944,0.0000000000,0.0000000000,0.2091793120,0.1104865447,0.1142627671,0.0366075821,0.0190816447,0.0177859664,0.0500692427,0.0435397848,0.0000151696,0.0000000000,0.0000000000,0.0000000000,-0.0254376419,0.1514815688,-0.0038826421,0.0399377644,0.1515026540,0.0060957037
