Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:13:04:31.652,61,0.1236470118,0.2802172601,0.0557254404,0.0000000000,0.0000000000,0.0524333939,0.0000000000,0.1236992255,0.2802539468,0.0519393459,0.0000000000,0.0000000000,0.0524303317,0.0000000000,0.0360092670,0.0185036063,0.0000000000,0.0190581698,0.0225213040,0.1356206387,0.1200852022,0.0000000000,0.0444001928,0.0000000000,0.0000000000,0.2270918489,0.1927110553,0.0521148071,0.0573379472,0.1305928230,0.1383847892,0.0652088821,0.0553241037,0.1528187692,0.1163578182,0.0365597904,0.0334989242,0.0547579601,0.0570240915,0.0375759564,0.0385716110,0.0000000000,0.0000000000,0.1390050799,0.0812982991,0.0812592879,0.0551863462,0.0217755362,0.0227962974,0.0542621464,0.0559526607,0.0000695316,0.0000000000,0.0000000000,0.0000000000,-0.0312639736,0.1712819338,-0.0054070088,0.0335430540,0.1712722927,0.0058006854
13:13:04:33.651,61,0.1233045980,0.2800400853,0.0566547550,0.0000000000,0.0000000000,0.0530484356,0.0000000000,0.1233643070,0.2800869048,0.0510252379,0.0000000000,0.0000000000,0.0530452952,0.0000000000,0.0360148884,0.0182049610,0.0000000000,0.0190170631,0.0224452317,0.1355553269,0.1197014675,0.0000000000,0.0444040783,0.0000000000,0.0000000000,0.2166078836,0.1804624200,0.0522153787,0.0574556589,0.1305610985,0.1384457350,0.0650601685,0.0552313328,0.1523807794,0.1161289737,0.0365148112,0.0334591195,0.0547658578,0.0570414104,0.0377652384,0.0387556404,0.0000000000,0.0000000000,0.1391593218,0.0820698664,0.0820141286,0.0551113971,0.0218322370,0.0229012184,0.0543417372,0.0559520759,0.0000725130,0.0000000000,0.0000000000,0.0000000000,-0.0307142939,0.1711768955,-0.0053086532,0.0341030695,0.1711672843,0.0058938023
13:13:04:35.651,61,0.1230325699,0.2804901004,0.0565354973,0.0000000000,0.0000000000,0.0535539612,0.0000000000,0.1230960339,0.2805355489,0.0511806756,0.0000000000,0.0000000000,0.0535508431,0.0000000000,0.0361042097,0.0179200713,0.0000000000,0.0189238153,0.0223289728,0.1355180591,0.1193555146,0.0000000000,0.0443992615,0.0000000000,0.0000000000,0.2139398307,0.1772574782,0.0524537191,0.0577323101,0.1305441409,0.1384715140,0.0651598498,0.0551817492,0.1523595452,0.1161066741,0.0366057046,0.0335527584,0.0547158495,0.0570005476,0.0380303785,0.0390278026,0.0000000000,0.0000000000,0.1390176415,0.0819664076,0.0819031224,0.0551168285,0.0218719691,0.0229860637,0.0543984883,0.0559546649,0.0000521255,0.0000000000,0.0000000000,0.0000000000,-0.0308063943,0.1714515686,-0.0053332807,0.0340296663,0.1714419276,0.0058907457
13:13:04:37.651,61,0.1233971789,0.2820779979,0.0558464937,0.0000000000,0.0000000000,0.0537011065,0.0000000000,0.1234662011,0.2821158767,0.0519394614,0.0000000000,0.0000000000,0.0536978506,0.0000000000,0.0361420251,0.0176580288,0.0000000000,0.0187946856,0.0221763048,0.1355335116,0.1193090975,0.0000000000,0.0442935228,0.0000000000,0.0000000000,0.2145451754,0.1779756248,0.0528037287,0.0580996610,0.1303697824,0.1382748187,0.0653791949,0.0550840572,0.1532784402,0.1162684113,0.0368698388,0.0338003375,0.0545354895,0.0568124615,0.0383774303,0.0393773168,0.0000000000,0.0000000000,0.1373579204,0.0792435035,0.0791674703,0.0553742200,0.0218393803,0.0229802746,0.0543585382,0.0558666848,0.0000465084,0.0000000000,0.0000000000,0.0000000000,-0.0312578715,0.1724198461,-0.0054425881,0.0336092860,0.1724099964,0.0058515146
13:13:04:39.650,61,0.1242668033,0.2844984233,0.0559372157,0.0000000000,0.0000000000,0.0536706410,0.0000000000,0.1244064569,0.2845370770,0.0519526638,0.0000000000,0.0000000000,0.0536672994,0.0000000000,0.0361188203,0.0175328497,0.0000000000,0.0186291356,0.0219552405,0.1354740858,0.1191572174,0.0000000000,0.0441039540,0.0000000000,0.0000000000,0.2144339234,0.1778835654,0.0530997477,0.0583748147,0.1301252544,0.1379558593,0.0653832927,0.0548429377,0.1537753344,0.1166042164,0.0371101052,0.0340289399,0.0543929450,0.0566611513,0.0387810618,0.0397933051,0.0000000000,0.0000000000,0.1357842386,0.0756337270,0.0755361319,0.0555073060,0.0218145084,0.0229791328,0.0542826056,0.0557672940,0.0000501711,0.0000000000,0.0000000000,0.0000000000,-0.0312577337,0.1738996208,-0.0054902239,0.0336551815,0.1738896668,0.0059108124
13:13:04:41.650,61,0.1274549216,0.2860724926,0.0570712462,0.0000000000,0.0000000000,0.0535404943,0.0000000000,0.1276758313,0.2861236334,0.0509556532,0.0000000000,0.0000000000,0.0535369255,0.0000000000,0.0360120721,0.0174571984,0.0000000000,0.0184275545,0.0216907486,0.1353503317,0.1190543994,0.0000000000,0.0438026413,0.0000000000,0.0000000000,0.2149672508,0.1785464883,0.0533539429,0.0585952178,0.1299139261,0.1376414001,0.0653193519,0.0544531308,0.1546321660,0.1170850769,0.0373521969,0.0342659391,0.0542038046,0.0564567149,0.0391860679,0.0402039364,0.0000000000,0.0000000000,0.1336931139,0.0723832697,0.0722842216,0.0556920134,0.0217502043,0.0229219850,0.0542035736,0.0556506962,0.0000387486,0.0000000000,0.0000000000,0.0000000000,-0.0306526441,0.1748659760,-0.0054145143,0.0343316570,0.1748558432,0.0060637635
13:13:04:43.650,61,0.1286325604,0.2867295742,0.0593348853,0.0000000000,0.0000000000,0.0534444377,0.0000000000,0.1288822740,0.2868060470,0.0487541892,0.0000000000,0.0000000000,0.0534407161,0.0000000000,0.0358240604,0.0174961947,0.0000000000,0.0182205588,0.0214325376,0.1353582889,0.1191885173,0.0000000000,0.0432135612,0.0000000000,0.0000000000,0.2151838243,0.1790101677,0.0534765124,0.0586244017,0.1296645552,0.1372164190,0.0651319772,0.0539927632,0.1552845687,0.1174841821,0.0375635289,0.0344774537,0.0540062152,0.0562461875,0.0395359173,0.0405358225,0.0000000000,0.0000000000,0.1326982826,0.0713137314,0.0712151751,0.0559643432,0.0217036642,0.0228618123,0.0541758314,0.0555810705,0.0000380102,0.0000000000,0.0000000000,0.0000000000,-0.0293261949,0.1752760261,-0.0051926808,0.0356908180,0.1752658933,0.0063188057
13:13:04:45.650,61,0.1294208318,0.2865082622,0.0610019639,0.0000000000,0.0000000000,0.0532564968,0.0000000000,0.1296900660,0.2866035104,0.0471423641,0.0000000000,0.0000000000,0.0532525666,0.0000000000,0.0357186273,0.0173970461,0.0000000000,0.0180839207,0.0212604254,0.1353453845,0.1192561686,0.0000000000,0.0430033430,0.0000000000,0.0000000000,0.2181023657,0.1810251027,0.0535175465,0.0586271249,0.1295186728,0.1369543821,0.0650199801,0.0537009090,0.1556340754,0.1177212298,0.0376832671,0.0346065015,0.0538650118,0.0560922325,0.0397348851,0.0407389738,0.0000000000,0.0000000000,0.1321286559,0.0711028576,0.0710014179,0.0562165193,0.0215933938,0.0227587018,0.0540128723,0.0553976372,0.0000321561,0.0000000000,0.0000000000,0.0000000000,-0.0283572935,0.1751472801,-0.0050174068,0.0366944522,0.1751370579,0.0064915339
13:13:04:47.649,61,0.1299036592,0.2877915502,0.0645408407,0.0000000000,0.0000000000,0.0530152917,0.0000000000,0.1301817894,0.2879270017,0.0437095016,0.0000000000,0.0000000000,0.0530112050,0.0000000000,0.0356374457,0.0172895733,0.0000000000,0.0179698300,0.0211435352,0.1353042573,0.1193488166,0.0000000000,0.0428489782,0.0000000000,0.0000000000,0.2192826271,0.1822333634,0.0535710827,0.0586359948,0.1292645633,0.1366055012,0.0649192706,0.0535050742,0.1558415145,0.1178049445,0.0378051586,0.0347321853,0.0537145138,0.0559325293,0.0398856066,0.0408838727,0.0000000000,0.0000000000,0.1318093538,0.0713721290,0.0712707117,0.0564563349,0.0214840248,0.0226561502,0.0538438596,0.0552015044,0.0000255557,0.0000000000,0.0000000000,0.0000000000,-0.0262885895,0.1759460270,-0.0046731285,0.0388177708,0.1759357899,0.0068989415
13:13:04:49.649,61,0.1306374818,0.2902995944,0.0666250065,0.0000000000,0.0000000000,0.0528337881,0.0000000000,0.1309155375,0.2904604077,0.0416160896,0.0000000000,0.0000000000,0.0528294779,0.0000000000,0.0356064960,0.0172114074,0.0000000000,0.0178845171,0.0210558791,0.1352430731,0.1193364486,0.0000000000,0.0428038575,0.0000000000,0.0000000000,0.2234392464,0.1874928474,0.0535849743,0.0586164929,0.1290020645,0.1363010556,0.0649545118,0.0533844344,0.1558493227,0.1181043833,0.0379466228,0.0348722972,0.0535683595,0.0557759032,0.0400431044,0.0410426334,0.0000000000,0.0000000000,0.1315113455,0.0714587793,0.0713577345,0.0566258691,0.0213779304,0.0225627460,0.0536516011,0.0549791828,0.0000286577,0.0000000000,0.0000000000,0.0000000000,-0.0250226203,0.1774883419,-0.0044879555,0.0400602967,0.1774778664,0.0071833716
